"","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A0",-4.60887704791942,-4.67677360484778,-4.7551794533148,-4.81330197968186,-4.85851524603542,-4.91892248617306,-4.98117358394664,-5.02676467602614,-5.05599883584779,-5.14353831276048,-5.1787581314904,-5.24042588813226,-5.28579608599436,-5.34080741816899,-5.40367788220586,-5.42025903735328,-5.4769656779757,-5.4769656779757,-5.45590728712281,-5.51398890302355,-5.5227116997639,-5.55114722823261,-5.56515160648698,-5.65100028921723,-5.68016360905757,-5.6627365052202,-5.77764432325466,-5.79853281120201,-5.86747856732699,-5.87101839403211,-5.85553602988374,-5.95109065296971,-5.98349637745881,-5.97993131129431,-6.01207550101211,-5.99869059219972,-6.14835230264513,-6.14601530695658,-6.05632311945648,-6.15022583949292,-6.22213636484298,-6.22062617074775,-6.29962147274915,-6.20564835705072,-6.32665760223081,-6.31830333476096,-6.3367757323964,-6.35272140055183,-6.42286303724265,-6.43400866345757
"A1",-6.5410309991904,-6.62182473956916,-6.71383458634483,-6.73296198860897,-6.76625571670844,-6.84760135616239,-6.93409925432174,-6.93512647577827,-6.94131206251098,-6.99987056788994,-7.08927715560553,-7.12342681545765,-7.1848271723219,-7.24322801527027,-7.24183039100363,-7.25589532047103,-7.32630562663896,-7.25589532047103,-7.31722840848784,-7.31722840848784,-7.30674142099259,-7.36820469542306,-7.33240320650708,-7.53511471900408,-7.47691647976109,-7.48578965244158,-7.52951246345541,-7.66277786326017,-7.69301774844989,-7.77287772428189,-7.87533930524384,-7.85708586493449,-7.92663259963139,-7.83662479306315,-7.99839939800107,-8.00736806798383,-7.97486890059088,-7.932188169476,-7.82154913065771,-7.98362808068076,-8.05660878408699,-8.01037558904779,-7.95472433449841,-8.0854107749907,-8.0854107749907,-8.11506698457359,-8.06930736742412,-8.60602440512285,-8.31017902203191,-8.24335652578651
"A2",-7.09288076310883,-7.15110153761387,-7.23904098891605,-7.36031199462415,-7.34471105418167,-7.4559366892919,-7.49474226371369,-7.59492038786454,-7.5616817463888,-7.6354939043117,-7.67994566688253,-7.63342565124764,-7.80669737252168,-7.80179540192147,-7.89393213832046,-7.84424871817381,-7.79935339826592,-7.9633080781898,-7.93777477618463,-7.93777477618463,-7.83409634670979,-7.99246466248126,-8.03476704217194,-8.00138002613921,-7.92110772369942,-7.98362808068076,-8.18072095479502,-8.25868249626474,-8.25099015064158,-8.25099015064158,-8.31425234741955,-8.53739589873376,-8.39056054048287,-8.49739056412006,-8.49739056412006,-8.40386450610923,-8.65645525874974,-8.51719319141624,-8.18429877614291,-8.53739589873376,-8.58976388425107,-8.52220573323978,-8.70956508406369,-8.65645525874974,-8.75291552493731,-8.78507263657184,-8.69154657856101,-9.31570088763401,-9.10598035665194,-8.94797610750869
"A3",-7.37616018686418,-7.41359336123709,-7.52394141840595,-7.66277786326017,-7.7610712116949,-7.71071732554929,-7.83157427727708,-7.75405363903626,-7.80424338356011,-8.05660878408699,-7.9633080781898,-7.93777477618463,-8.15951874714442,-8.23201424918257,-8.14218729079278,-8.17715588863053,-8.22826189956402,-8.28212106923675,-8.31017902203191,-8.17715588863053,-8.19510969224712,-8.25868249626474,-8.13193079062559,-8.53739589873376,-8.43561320442381,-8.40386450610923,-8.53230682922629,-8.61150387088748,-8.57906859513433,-8.67971212091401,-8.6622189634665,-8.6856118430412,-8.63936082539045,-8.6622189634665,-8.67971212091401,-8.92516142974252,-8.75291552493731,-8.83190393625594,-8.38616492900983,-8.75291552493731,-9.18078156973464,-9.16155020780675,-9.08812273925193,-9.2305430792937,-9.08812273925193,-8.9327086353779,-8.96348029404466,-9.24079957946089,-9.31570088763401,-9.22039070782968
"A4",-7.70182837813204,-7.65009270373285,-7.74246602386387,-7.78964458413896,-7.86747556878363,-7.91287722456291,-7.95187938236618,-8.03168537563454,-8.25482892694875,-8.15255007782833,-8.32244911462373,-8.29805766149957,-8.39056054048287,-8.45421839225485,-8.62255370707406,-8.43561320442381,-8.43561320442381,-8.54251099940053,-8.53230682922629,-8.35167875293866,-8.32657283180759,-8.56848648580379,-8.44023215028011,-8.59515473288595,-8.39056054048287,-8.67384700146161,-8.81829828420016,-8.75926475261597,-8.92516142974252,-8.83190393625594,-8.77855795555064,-8.86675066758611,-8.89552963213615,-9.01148951323102,-9.07931210956978,-9.02801881518223,-9.09701168666918,-9.25116236649644,-8.65645525874974,-8.97132347150568,-9.38469375912096,-9.12416267573513,-9.44606270549725,-9.34960243930969,-9.15207146385221,-9.44606270549725,-9.14268172350237,-9.6566274746046,-9.31570088763401,-9.38469375912096
"A5",-7.76342138903986,-7.932188169476,-7.89661670369113,-7.99246466248126,-7.95187938236618,-8.19149305177694,-8.2170885989659,-8.21339173708457,-8.25099015064158,-8.37309284744248,-8.3432398842928,-8.54251099940053,-8.42188301161191,-8.70352276960773,-8.75926475261597,-8.47317630599946,-8.74660635574404,-8.57906859513433,-8.49739056412006,-8.62255370707406,-8.52724352726974,-8.65072458404076,-8.60602440512285,-8.80487526386802,-8.70352276960773,-8.88103662483358,-8.81829828420016,-9.09701168666918,-9.13337933084005,-8.87386813535497,-8.98719682066197,-9.29372198091523,-9.28291106481102,-9.00332620259186,-9.12416267573513,-9.22039070782968,-9.00332620259186,-9.06192036685791,-8.88103662483358,-9.02801881518223,-9.37285930147396,-9.14268172350237,-9.39666995016768,-9.39666995016768,-9.70463669379096,-9.70463669379096,-9.26163366636373,-9.55283068092296,-9.6566274746046,-9.6566274746046
"A6",-7.80669737252168,-7.99246466248126,-8.08216928106653,-8.1084002932154,-8.09192545601189,-8.25868249626474,-8.412833176092,-8.28212106923675,-8.39941015575985,-8.45421839225485,-8.56323712991764,-8.49250057882587,-8.76565455071474,-8.63372700767219,-8.6622189634665,-8.74660635574404,-8.58440194110969,-8.76565455071474,-8.72176035715751,-8.73410619297981,-8.69154657856101,-8.791630037118,-8.6622189634665,-8.89552963213615,-8.99522899235924,-8.98719682066197,-9.09701168666918,-8.9556981536026,-9.21034037197618,-9.16155020780675,-9.10598035665194,-9.49802244442796,-9.22039070782968,-9.33817374348607,-9.26163366636373,-9.44606270549725,-9.20039004112301,-9.28291106481102,-8.65072458404076,-9.8081773727318,-9.32687418823213,-9.47170513611059,-9.34960243930969,-9.44606270549725,-9.58140405336701,-9.39666995016768,-9.49802244442796,-9.6566274746046,-9.90348755253613,-9.70463669379096
"A7",-8.02555038706702,-8.18429877614291,-8.35167875293866,-8.13875675569599,-8.28212106923675,-8.39497555869199,-8.44487252983661,-8.47797247826296,-8.67971212091401,-8.70352276960773,-8.50724286056307,-8.81829828420016,-8.75291552493731,-8.86675066758611,-8.65072458404076,-8.8387768155437,-8.86675066758611,-8.87386813535497,-8.74660635574404,-8.74660635574404,-8.73410619297981,-8.94031323476312,-8.65645525874974,-8.98719682066197,-9.05333662316652,-8.74033674273045,-8.98719682066197,-9.22039070782968,-9.07057842960102,-8.9556981536026,-9.29372198091523,-9.19053774468,-9.29372198091523,-9.37285930147396,-9.42106140329184,-9.36116326171077,-9.53884443894822,-9.8081773727318,-9.09701168666918,-9.64112328806864,-9.6566274746046,-9.75506754741786,-9.25116236649644,-9.8265265114,-9.64112328806864,-9.77245929012972,-9.56701531591492,-9.64112328806864,-9.68837617291918,-9.72116599574217
"A8",-8.31834233267107,-8.35592504382011,-8.38616492900983,-8.41734785644652,-8.44953454294242,-8.70956508406369,-8.75926475261597,-8.69751674554752,-8.67971212091401,-8.82507797118554,-8.70956508406369,-8.94797610750869,-8.91023577952584,-8.9792286510128,-8.9792286510128,-9.01148951323102,-8.83190393625594,-8.9327086353779,-9.08812273925193,-9.08812273925193,-9.01148951323102,-9.12416267573513,-9.00332620259186,-8.9792286510128,-9.11503019217186,-9.21034037197618,-9.21034037197618,-9.49802244442796,-9.24079957946089,-9.33817374348607,-9.14268172350237,-9.67237583157274,-9.36116326171077,-9.29372198091523,-9.67237583157274,-9.33817374348607,-9.48477721767794,-9.49802244442796,-9.27221577569427,-9.43348392329039,-9.61081793857331,-10.008848068194,-9.68837617291918,-9.8265265114,-10.3190029964978,-9.84521864441215,-9.96536295625422,-9.62585581593785,-9.8081773727318,-9.8265265114
"A9",-8.33487163462228,-8.52220573323978,-8.54251099940053,-8.52724352726974,-8.72176035715751,-8.65072458404076,-8.72176035715751,-8.77208544104503,-8.91767075801336,-8.74660635574404,-8.80487526386802,-8.79823072114935,-9.19053774468,-9.14268172350237,-9.01148951323102,-9.03638706485274,-9.01148951323102,-9.06192036685791,-9.08812273925193,-9.30465105144742,-8.9792286510128,-9.04482593349861,-9.13337933084005,-9.37285930147396,-9.32687418823213,-9.14268172350237,-9.42106140329184,-9.22039070782968,-9.44606270549725,-9.31570088763401,-9.55283068092296,-9.70463669379096,-9.77245929012972,-9.5114454647601,-9.55283068092296,-9.52505111681588,-9.64112328806864,-9.64112328806864,-8.9556981536026,-9.56701531591492,-9.92369025985365,-9.58140405336701,-9.73797311405855,-9.98686916147518,-9.86426683938285,-9.75506754741786,-9.8081773727318,-9.92369025985365,-9.90348755253613,-9.67237583157274
