"","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A0",-4.34975307412359,-4.41744657990514,-4.50922384494088,-4.56402824265692,-4.61785023914547,-4.67817107887258,-4.74800183509563,-4.79778453226748,-4.85043154255592,-4.913463212344,-4.98921632672296,-5.01404108723109,-5.14080092867305,-5.1810678064978,-5.23215516429437,-5.28047744841971,-5.35024243941296,-5.30212460489099,-5.35488771803643,-5.30132187556834,-5.37304091274397,-5.32425074857454,-5.38999415511994,-5.47124320170163,-5.53733626702054,-5.55320961617683,-5.60919983217025,-5.6481585709082,-5.70718826779103,-5.74679436524949,-5.78315041003977,-5.80183641513159,-5.81014349064761,-5.85379174198291,-5.89397492583073,-5.92268503171316,-5.94077143279246,-5.98270304143941,-6.0448653238351,-6.07267460253353,-6.08621488365379,-6.1357969179979,-6.17154860896174,-6.22213636484298,-6.26590139280974,-6.23379091783897,-6.22769333797085,-6.28235175050871,-6.29094933167891,-6.31553401701215
"A1",-6.35963387047245,-6.47532372264416,-6.52863414621357,-6.64693066070024,-6.64924458383064,-6.69103229547085,-6.744786450704,-6.80972153871077,-6.78642299381461,-6.87722607394731,-6.91881622634156,-7.02879360735919,-6.99549419329014,-6.94234672375176,-7.02428909523809,-7.04472113405529,-7.11971164090578,-7.0856864874748,-7.17302375659702,-7.13591137211989,-7.15621663828064,-7.23764920024323,-7.22246602382184,-7.19277423401443,-7.39551562981713,-7.28317626574192,-7.38740528527968,-7.50741211645474,-7.58502911038579,-7.62724643488168,-7.80424338356011,-7.66277786326017,-7.63136166702679,-7.75405363903626,-7.7040432184616,-7.78482529770301,-7.80179540192147,-7.79935339826592,-7.7310111448891,-7.97778011079833,-8.00736806798383,-7.93777477618463,-7.95187938236618,-7.99839939800107,-7.98069982090167,-8.19510969224712,-8.13193079062559,-8.27033311348471,-8.29805766149957,-8.25482892694875
"A2",-6.83636528289546,-6.88991536085381,-6.93924594607351,-7.02992291295634,-7.17563472413774,-7.19011818995632,-7.24602913754998,-7.19543735143392,-7.38096403917682,-7.3841794760308,-7.53137639689347,-7.46288116164471,-7.50196251168718,-7.53137639689347,-7.59095212868891,-7.68211251496763,-7.60090245954208,-7.61500138392158,-7.71295196335071,-7.73786831461524,-7.74016452687559,-7.68646034790373,-7.68864137385009,-7.83157427727708,-7.84936381884058,-7.96907178290655,-7.97196614093291,-8.01339218258721,-8.12177841916157,-8.11506698457359,-8.30208181179929,-8.18072095479502,-8.20970849166828,-8.17360348702616,-8.47797247826296,-8.39497555869199,-8.5122056499052,-8.48763438917469,-8.20970849166828,-8.63936082539045,-8.45421839225485,-8.55801518593649,-8.36877318629796,-8.63372700767219,-8.69751674554752,-8.76565455071474,-8.70352276960773,-8.77208544104503,-8.85968350036301,-8.70956508406369
"A3",-6.97925128068721,-7.15878403378588,-7.18746918178474,-7.26157715393846,-7.31572351730842,-7.32024500202727,-7.43878361006565,-7.43878361006565,-7.46812134830826,-7.60290446221276,-7.75172534927667,-7.79691734346804,-7.71071732554929,-7.80669737252168,-7.80424338356011,-7.82154913065771,-7.86486800537655,-7.75638736238248,-7.94904250103098,-7.91561320438178,-7.9101487099097,-7.9462136448305,-7.91287722456291,-8.1050835405894,-8.25482892694875,-8.07893826048508,-8.2170885989659,-8.23956145481796,-8.39056054048287,-8.55282036905939,-8.55801518593649,-8.48763438917469,-8.44023215028011,-8.61150387088748,-8.65072458404076,-8.67384700146161,-8.77855795555064,-8.61150387088748,-8.38616492900983,-8.55282036905939,-8.9792286510128,-8.94797610750869,-8.97132347150568,-8.92516142974252,-9.00332620259186,-8.85968350036301,-8.88825687280707,-9.27221577569427,-8.98719682066197,-9.22039070782968
"A4",-7.17041958845863,-7.297839285052,-7.3841794760308,-7.43708437431269,-7.48578965244158,-7.50015255644194,-7.6231480684894,-7.58897388867681,-7.80915739836254,-7.81657399601759,-7.81162349085773,-7.88061636234469,-8.06611757205602,-8.03168537563454,-7.98951045058382,-8.08216928106653,-8.09848285655805,-8.01037558904779,-8.15602834220465,-8.07571764578504,-8.25099015064158,-8.29404964010203,-8.17006366032104,-8.29805766149957,-8.36447210439857,-8.37743124904108,-8.39941015575985,-8.39056054048287,-8.46365242448821,-8.74660635574404,-8.60602440512285,-8.67971212091401,-8.74660635574404,-8.62812475212352,-8.71564413014008,-8.8387768155437,-8.87386813535497,-8.74033674273045,-8.57906859513433,-8.85968350036301,-8.94797610750869,-8.83190393625594,-8.94031323476312,-9.26163366636373,-9.18078156973464,-9.18078156973464,-9.20039004112301,-9.32687418823213,-9.70463669379096,-9.38469375912096
"A5",-7.33240320650708,-7.38902210050658,-7.50377574881136,-7.59492038786454,-7.59293428989291,-7.68646034790373,-7.69961843248124,-7.73557736286868,-7.80179540192147,-7.81905846934525,-7.88592141457438,-8.00436956498757,-8.07250737015479,-8.11841707145887,-8.01339218258721,-8.3061222213363,-8.22452357745342,-8.17006366032104,-8.35592504382011,-8.18072095479502,-8.21339173708457,-8.28608147045285,-8.23956145481796,-8.40386450610923,-8.56848648580379,-8.47797247826296,-8.65645525874974,-8.62812475212352,-8.78507263657184,-8.75926475261597,-8.77855795555064,-8.96348029404466,-8.91023577952584,-8.9327086353779,-9.06192036685791,-8.85266592770437,-9.02801881518223,-9.29372198091523,-8.60602440512285,-8.85968350036301,-9.01972001236753,-9.02801881518223,-9.33817374348607,-9.21034037197618,-9.42106140329184,-9.08812273925193,-9.34960243930969,-9.64112328806864,-9.26163366636373,-9.36116326171077
"A6",-7.40863057189496,-7.59293428989291,-7.45420808039128,-7.71071732554929,-7.64172445406234,-7.68646034790373,-7.74708496972016,-7.86226722367649,-7.93497757156357,-7.90742761979534,-8.03168537563454,-8.15255007782833,-8.1050835405894,-8.29805766149957,-8.22452357745342,-8.2023824515762,-8.27033311348471,-8.21339173708457,-8.18788944427364,-8.25482892694875,-8.36877318629796,-8.38178855441003,-8.3061222213363,-8.62255370707406,-8.61150387088748,-8.52724352726974,-8.78507263657184,-8.83190393625594,-8.66801608115082,-8.70956508406369,-8.70956508406369,-8.82507797118554,-8.79823072114935,-8.89552963213615,-8.97132347150568,-9.14268172350237,-9.13337933084005,-9.14268172350237,-8.85266592770437,-9.22039070782968,-9.31570088763401,-9.15207146385221,-9.10598035665194,-9.11503019217186,-9.39666995016768,-9.44606270549725,-9.68837617291918,-9.88368492523995,-9.42106140329184,-9.55283068092296
"A7",-7.56360667479839,-7.7310111448891,-7.82404601085629,-7.83409634670979,-7.91287722456291,-7.90471391392375,-7.95472433449841,-7.9462136448305,-7.89393213832046,-8.15602834220465,-8.06293791913864,-8.23956145481796,-8.2023824515762,-8.31834233267107,-8.34745041682914,-8.31017902203191,-8.45892428329226,-8.37743124904108,-8.43561320442381,-8.5122056499052,-8.46365242448821,-8.42188301161191,-8.38178855441003,-8.54765239890095,-8.69751674554752,-8.50230457892249,-8.8387768155437,-8.70956508406369,-8.96348029404466,-8.84569725838827,-9.13337933084005,-8.89552963213615,-8.791630037118,-8.99522899235924,-9.08812273925193,-9.19053774468,-9.34960243930969,-9.11503019217186,-8.73410619297981,-9.06192036685791,-9.30465105144742,-9.14268172350237,-9.27221577569427,-9.53884443894822,-9.43348392329039,-9.68837617291918,-9.31570088763401,-9.68837617291918,-9.52505111681588,-9.52505111681588
"A8",-7.69741335992293,-7.91287722456291,-7.85708586493449,-8.04095901241987,-8.11172808330807,-7.98362808068076,-8.25099015064158,-8.13193079062559,-8.2170885989659,-8.34745041682914,-8.32657283180759,-8.48279176469891,-8.44953454294242,-8.52220573323978,-8.57906859513433,-8.58440194110969,-8.37743124904108,-8.67971212091401,-8.71564413014008,-8.66801608115082,-8.58976388425107,-8.85968350036301,-8.58976388425107,-9.05333662316652,-8.90285567222822,-8.61701352669845,-8.72791422273189,-8.9327086353779,-9.09701168666918,-9.02801881518223,-9.39666995016768,-9.07057842960102,-8.89552963213615,-9.20039004112301,-9.22039070782968,-9.31570088763401,-9.30465105144742,-9.38469375912096,-8.9792286510128,-9.2305430792937,-9.20039004112301,-9.52505111681588,-9.25116236649644,-9.44606270549725,-9.59600285278817,-9.61081793857331,-9.44606270549725,-9.98686916147518,-9.52505111681588,-9.73797311405855
"A9",-7.94339276848886,-8.05660878408699,-8.13193079062559,-8.04095901241987,-8.22826189956402,-8.17360348702616,-8.37309284744248,-8.33904700603276,-8.412833176092,-8.40386450610923,-8.38616492900983,-8.52724352726974,-8.39941015575985,-8.62255370707406,-8.79823072114935,-8.73410619297981,-8.61150387088748,-8.78507263657184,-8.61701352669845,-8.63372700767219,-8.89552963213615,-8.83190393625594,-8.5122056499052,-8.90285567222822,-8.97132347150568,-8.94797610750869,-9.05333662316652,-9.27221577569427,-9.01148951323102,-9.32687418823213,-9.21034037197618,-9.21034037197618,-9.18078156973464,-9.40879131070002,-9.58140405336701,-9.25116236649644,-9.22039070782968,-9.64112328806864,-9.08812273925193,-9.47170513611059,-9.32687418823213,-9.18078156973464,-9.43348392329039,-9.6566274746046,-9.44606270549725,-9.56701531591492,-9.40879131070002,-9.59600285278817,-9.73797311405855,-9.98686916147518
