"Age","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A0",0.00996248565553266,0.00930775076108831,0.00860560455253206,0.00812121042546027,0.00776193252102741,0.00730663952226165,0.0068653733441451,0.00656029703360261,0.00637109923175527,0.00583741621409719,0.00563491300471576,0.00529704473336139,0.00506311216154678,0.00479172788007605,0.00450036719241876,0.00442595888262643,0.0041815317607253,0.00418272830112368,0.00427126432117122,0.00402992734990592,0.00399473967286998,0.00388319299360582,0.00382945819761779,0.00351350457765425,0.00341255289453223,0.00347252538378771,0.00309663516866196,0.00303190752776288,0.00282975742748076,0.00281933524856105,0.00286154137660635,0.00260250237744002,0.00251787249092508,0.00252881904323313,0.00244639644577437,0.0024802038014049,0.00213575491382558,0.00214136050286058,0.0023386014004212,0.00213008120323546,0.00198491133686609,0.001986996168484,0.00183807726569236,0.00201524354249924,0.00178808463409571,0.00180159640408572,0.00176931447637895,0.00173472716554875,0.00162208301320238,0.00160287799938758
"A1",0.00143923922417645,0.00132812331769181,0.00121139756997822,0.00117919228487851,0.00114643727051966,0.00105122807435008,0.000969404861537573,0.000962305357538412,0.0009606169438368,0.000905147883796305,0.000830174464779834,0.00080829617538391,0.000750508410075428,0.000714453567332269,0.000708075295481464,0.000699920526883834,0.000661645515352327,0.000696977835928635,0.000655722311996169,0.000652982257505076,0.000668296291034046,0.000623850532404619,0.000636762022365771,0.000537672160413107,0.000569081777687247,0.000563361719223287,0.000528389430213758,0.000465055758974884,0.000454315336634955,0.000422289771012461,0.000385655443002674,0.00037876334758441,0.000366267784352096,0.000386442535692885,0.000340554022831646,0.000341055749266423,0.000333453626842726,0.000351545526213201,0.000412719868567507,0.000340246720564493,0.000312540867674955,0.000325499991786721,0.00031268134055374,0.000292046397871419,0.000293451290078667,0.000282945439291236,0.000303088318359411,0.000181986515979273,0.000227242160697889,0.000239515839399822
"A2",0.000840492506854287,0.000800499258128811,0.000729059391948518,0.000651256925926474,0.000639859016756373,0.000602145611945457,0.000562770423006466,0.000529601272562305,0.000537178297239618,0.000484196424843506,0.000470301694446182,0.000485992775185355,0.000414371168788892,0.000402833450573636,0.000387523240092375,0.000398746859541255,0.00039958088821848,0.000358843528440048,0.000361019910920038,0.000379083637057558,0.000396429945189823,0.000350446606319282,0.000362826899421713,0.000319278080789531,0.000349941824150288,0.000331031486713845,0.000286941332164943,0.000263799618458665,0.000261891896171178,0.000252764870026818,0.000240703992649071,0.000218631443162508,0.000228462018419119,0.00022227636023568,0.000210195482317767,0.000207217430919021,0.000199202733967334,0.000204026450938265,0.000277265038116114,0.000205634925198215,0.000175373656021834,0.000188545056240569,0.000178243589831413,0.000165611209794883,0.000166421811608218,0.000162534963410352,0.000178356161855192,0.000109027432367865,0.000129034846270684,0.000138086074379393
"A3",0.000609323049959736,0.000592608329185863,0.00054011994026542,0.000480323951075179,0.00045696557406935,0.000442392662475902,0.000411933857639809,0.000408804125973812,0.000382273708204659,0.000337246737528743,0.000334398351169924,0.000342623578414882,0.000292689237546898,0.000275413135025802,0.000267609908979249,0.000284180601635344,0.000275105968261748,0.000251531496601455,0.000256500037653704,0.000278649799322796,0.000288054235683913,0.000251307388809585,0.000271642592991694,0.000220081311786509,0.000249620136363252,0.000228141310204376,0.000199210193116107,0.000187766628476497,0.00018186261182735,0.000182975125056543,0.000179143214448319,0.000158843422345237,0.000167379665834745,0.000162580067286933,0.000154817479339436,0.000147555175138681,0.000148086705988383,0.000143346796897422,0.000216171431269788,0.000148826612984768,0.000120330893298957,0.000131803772045023,0.000125457097735654,0.00011560715025426,0.000115062462054894,0.000114180509015281,0.000127562795937905,8.34278486644264e-05,9.23863668356528e-05,9.86606596720853e-05
"A4",0.000488880447786348,0.000464644743240453,0.00043227655632182,0.000399387163011317,0.000382132550022343,0.000352239777972708,0.000330162579428363,0.000330763044413468,0.000296039089272145,0.0002737885929004,0.000264966048377455,0.000259064183014303,0.000233075078136861,0.000213071307479842,0.000205464964871255,0.000225730013405742,0.000212203534781639,0.000203398949688098,0.00021061550091309,0.000223067127217015,0.00023339867657459,0.000200440351112092,0.000220912974782104,0.000177209140686305,0.000201871379342904,0.0001758242811906,0.00015698637096959,0.000148781337144771,0.000139490394067037,0.000148749642137972,0.000144995414912301,0.000124193966096032,0.000130971737758861,0.000129401216985867,0.000121900150761581,0.000115707717413703,0.00011986161043958,0.000111711050567975,0.000177418221649539,0.000116321168328481,9.35501715442785e-05,0.000102456001059601,9.98817108021553e-05,9.07218070883765e-05,8.80427528588034e-05,8.92205590626144e-05,9.97732739756681e-05,7.05569948515576e-05,7.40190973316144e-05,7.91546919155362e-05
"A5",0.000420109748401014,0.000377606277953897,0.000355084276365878,0.000344653575544493,0.000335620004237256,0.000289985129409526,0.000271898222854009,0.000279385487494418,0.000246564709428827,0.000232569664731815,0.000226685118201669,0.000210013398557392,0.000195936020612469,0.000178588810774115,0.000175746047147394,0.000188570014032704,0.000182255822498908,0.000177433225283325,0.000184032430646083,0.000184666700607023,0.000196153450027314,0.000168967303772294,0.000188452783818397,0.000152188796972232,0.000164253742855116,0.00014884650906896,0.000134540186488965,0.000125544844852224,0.00011661474308677,0.000130655440273085,0.000122232559899377,0.000101277470112009,0.000107602056295553,0.000109193305325594,0.000101040606887674,9.76496706853051e-05,0.000102115527605146,9.32896621025092e-05,0.00015342926714004,9.64253268089241e-05,7.99342028461894e-05,8.56506302588063e-05,8.65482876467743e-05,7.74899303231192e-05,7.29707226363558e-05,7.61283798045631e-05,8.39179336787459e-05,6.42424444322824e-05,6.46732420492866e-05,6.93812372612523e-05
"A6",0.000365132780717228,0.000314554267866204,0.000295166082295617,0.000299690817901524,0.000289442889699174,0.000244696630728659,0.000227083509930529,0.000238986159989541,0.000211229348129725,0.000199374625504149,0.000202979997660562,0.00017832876566831,0.000167195439785547,0.000154738544675417,0.000159450125963576,0.000159782794489335,0.000163874186892636,0.00015681700578985,0.000161187666750883,0.000156949491797933,0.000168213074216595,0.000146060870038732,0.000165514169004074,0.000134072178106777,0.000134079180258984,0.000132877112396418,0.000118656129921254,0.000108986229126917,0.000103163376044491,0.000116694180781723,0.00010685417931326,8.65879886566889e-05,9.29065082012826e-05,9.46816834018633e-05,8.69468810887791e-05,8.58441916902417e-05,8.91304107375636e-05,8.15356948694725e-05,0.000135799533611946,8.34948785879925e-05,7.11131362679472e-05,7.47886967001972e-05,7.90936044513389e-05,6.98640528677123e-05,6.38734058350881e-05,6.89345558463915e-05,7.36295824086818e-05,6.08873463336227e-05,5.96856882171783e-05,6.45455930547437e-05
"A7",0.00031192059759061,0.000267249894793299,0.000250739441050145,0.000260230863444009,0.000245346040379783,0.000211034089665208,0.000194043338652375,0.000202430892598769,0.000180846363034023,0.000174486197856492,0.00018198986064924,0.000155688698757551,0.000145186440887925,0.00013580034068258,0.000144919227706523,0.00013754418526855,0.000148296607104911,0.00013905563420364,0.000139934267021912,0.00013657730864532,0.000147041278813992,0.000127956983889701,0.00014719653707083,0.000119455222039413,0.000113420322178673,0.000120863362694536,0.000106412101204118,9.64271187392478e-05,9.38517604214938e-05,0.000104803038336126,9.67672326253242e-05,7.7392274880127e-05,8.34668614991196e-05,8.4309536282161e-05,7.74749268983948e-05,7.80037182259191e-05,7.98620788067884e-05,7.42349051416531e-05,0.000122654212827035,7.57105474845329e-05,6.51235519644149e-05,6.80646046472028e-05,7.49966892885159e-05,6.57531923023947e-05,5.86967398644806e-05,6.54209469650472e-05,6.73931918729947e-05,5.95537896604047e-05,5.77921722150819e-05,6.30231095299544e-05
"A8",0.000267661400692928,0.000233689144055362,0.000220493217565505,0.000226913189751063,0.000210284998309609,0.000187015537962191,0.000171016249709218,0.000173610124106405,0.000157078463246225,0.000157691204817081,0.000161599601853791,0.000139887317985263,0.000130549344023135,0.000121567629361785,0.000130733749850153,0.00012228021292482,0.000134729270427155,0.000125632641634738,0.000123029703440662,0.000122443913560424,0.000131237253868531,0.000114030152704791,0.000133598242839865,0.000106803786650519,9.92902936407104e-05,0.000110836902109802,9.84906255122076e-05,8.76662176421104e-05,8.69435300040985e-05,9.58510496042513e-05,9.05665572414095e-05,7.20263118529196e-05,7.74010536325592e-05,7.78868444669994e-05,7.1954765297249e-05,7.31630718351288e-05,7.44225048044184e-05,7.05997106423734e-05,0.000114502229542159,7.20857950324352e-05,6.19867591637336e-05,6.47876704515535e-05,7.33414861532227e-05,6.44180467350016e-05,5.664720425352e-05,6.48657357744474e-05,6.49514387406854e-05,6.03525188487218e-05,5.87764958434678e-05,6.43238048797529e-05
"A9",0.000237934870784423,0.000212635153840515,0.000201757731634058,0.000202047500086114,0.000186242431749464,0.000171764104610859,0.000156237552082947,0.000153792536183284,0.000141328517777567,0.00014691372284895,0.00014534793420804,0.000129903153160323,0.00012241852230946,0.000112877738450543,0.000119537329530704,0.000113383682391314,0.000124286276002619,0.000115890666783675,0.000111880114987257,0.000114583020439288,0.000120921948511737,0.000104036405406055,0.000125743399341397,9.75457763677342e-05,8.98525313812858e-05,0.000103511302294911,9.46028992353208e-05,8.24022694057606e-05,8.23959210437096e-05,8.95062187706865e-05,8.79579592888105e-05,6.99369696740351e-05,7.43449672543325e-05,7.43471059861593e-05,6.97636086822218e-05,7.0438578244667e-05,7.21410589889355e-05,6.9967326462817e-05,0.00011025353500337,7.13756788086291e-05,6.11167770059323e-05,6.39913232121778e-05,7.35782510112169e-05,6.51372190054305e-05,5.68910400513619e-05,6.65509229656696e-05,6.53418837969033e-05,6.2989041219352e-05,6.20461687940306e-05,6.78978116935675e-05
