y,age,year
-4.60887704791942,0,1973
-6.5410309991904,1,1973
-7.09288076310883,2,1973
-7.37616018686418,3,1973
-7.70182837813204,4,1973
-7.76342138903986,5,1973
-7.80669737252168,6,1973
-8.02555038706702,7,1973
-8.31834233267107,8,1973
-8.33487163462228,9,1973
-8.412833176092,10,1973
-8.46840302724681,11,1973
-8.63936082539045,12,1973
-8.27817629094574,13,1973
-8.33071362447362,14,1973
-8.15951874714442,15,1973
-7.99839939800107,16,1973
-7.86747556878363,17,1973
-7.7610712116949,18,1973
-7.6231480684894,19,1973
-7.53511471900408,20,1973
-7.44904011023284,21,1973
-7.41691562342907,22,1973
-7.31873556777841,23,1973
-7.28609171970205,24,1973
-7.35717227461948,25,1973
-7.30376522831955,26,1973
-7.33546599603762,27,1973
-7.21564005875144,28,1973
-7.09288076310883,29,1973
-7.1447442371184,30,1973
-7.05162564940184,31,1973
-7.0031654637868,32,1973
-7.0086811975721,33,1973
-6.92795798629966,34,1973
-6.83822921633353,35,1973
-6.80069620668873,36,1973
-6.68301300630423,37,1973
-6.69506618557179,38,1973
-6.56985549036974,39,1973
-6.47273136863243,40,1973
-6.42718269838717,41,1973
-6.28771657024283,42,1973
-6.25960546435293,43,1973
-6.12888922301965,44,1973
-6.04402179784666,45,1973
-5.97559119795169,46,1973
-5.8957907970397,47,1973
-5.81818373496618,48,1973
-5.73868452666547,49,1973
-5.6168711026669,50,1973
-5.52848553279921,51,1973
-5.461542427651,52,1973
-5.33187415007688,53,1973
-5.35003180223472,54,1973
-5.22823175898135,55,1973
-5.12520474883939,56,1973
-5.03857191278928,57,1973
-4.94148243540794,58,1973
-4.88435512818593,59,1973
-4.78741174598188,60,1973
-4.66970870712566,61,1973
-4.57921008431856,62,1973
-4.45279250556721,63,1973
-4.33583030778417,64,1973
-4.23305505756148,65,1973
-4.10106710798293,66,1973
-4.02833212782853,67,1973
-3.93421749093791,68,1973
-3.7820479290064,69,1973
-3.66446004957319,70,1973
-3.5408733277351,71,1973
-3.44158197185763,72,1973
-3.29651309459535,73,1973
-3.15879252601119,74,1973
-3.03699186380529,75,1973
-2.94492509730272,76,1973
-2.76072339448103,77,1973
-2.66491887514161,78,1973
-2.54863909589136,79,1973
-2.41992822542204,80,1973
-2.28424431799719,81,1973
-2.18914034299424,82,1973
-2.06928529143546,83,1973
-1.97328854012193,84,1973
-1.87248591059421,85,1973
-1.74235235255582,86,1973
-1.7113432928411,87,1973
-1.54480252098861,88,1973
-1.43101143160903,89,1973
-1.37272681789835,90,1973
-1.26460784286329,91,1973
-1.17017381346499,92,1973
-1.12806478656016,93,1973
-0.974046971435119,94,1973
-1.00500719806616,95,1973
-0.851432730525822,96,1973
-0.874014595131359,97,1973
-0.662336734766634,98,1973
-0.609010097063675,99,1973
-0.632493932889579,100,1973
