y,age,year
-4.34975307412359,0,1973
-6.35963387047245,1,1973
-6.83636528289546,2,1973
-6.97925128068721,3,1973
-7.17041958845863,4,1973
-7.33240320650708,5,1973
-7.40863057189496,6,1973
-7.56360667479839,7,1973
-7.69741335992293,8,1973
-7.94339276848886,9,1973
-8.09192545601189,10,1973
-7.98951045058382,11,1973
-7.98951045058382,12,1973
-7.92940652651412,13,1973
-7.89125476054974,14,1973
-7.51472476330103,15,1973
-6.9157874506794,16,1973
-6.65388855502509,17,1973
-6.82249543503131,18,1973
-6.7758502081022,19,1973
-6.6966843089022,20,1973
-6.70726641823273,21,1973
-6.72376844286912,22,1973
-6.75075153017247,23,1973
-6.7430886574269,24,1973
-6.76452111089623,25,1973
-6.7371689784066,26,1973
-6.8206605721312,27,1973
-6.65855419334864,28,1973
-6.66559372183217,29,1973
-6.67268315680265,30,1973
-6.55921331827359,31,1973
-6.56487504606559,32,1973
-6.45159705655845,33,1973
-6.40819284749486,34,1973
-6.27648350214028,35,1973
-6.27595172866324,36,1973
-6.0919480856863,37,1973
-6.04740017943829,38,1973
-5.91080664409053,39,1973
-5.8341189763842,40,1973
-5.75940089841921,41,1973
-5.67519501780429,42,1973
-5.63462961596788,43,1973
-5.5570880955054,44,1973
-5.47243268679489,45,1973
-5.43574204245971,46,1973
-5.35976732886426,47,1973
-5.29552127924604,48,1973
-5.19089896978077,49,1973
-5.08870494951818,50,1973
-5.00803866824899,51,1973
-4.93422996289385,52,1973
-4.85542802979387,53,1973
-4.78369894454335,54,1973
-4.69367358457949,55,1973
-4.57367151892872,56,1973
-4.45847580683729,57,1973
-4.40043503435724,58,1973
-4.27593838387952,59,1973
-4.21272277496123,60,1973
-4.07008131008642,61,1973
-3.98308945386201,62,1973
-3.86728867408798,63,1973
-3.73488150867573,64,1973
-3.65440073569769,65,1973
-3.49397078181451,66,1973
-3.46375386832842,67,1973
-3.3282722516476,68,1973
-3.23747267940062,69,1973
-3.11249083416419,70,1973
-3.02027089800115,71,1973
