"Age","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A0",0.012909895545458,0.0120646953091137,0.0110066989848888,0.0104196410811178,0.00987386968608253,0.00929593386732453,0.00866893890467235,0.00824749950038576,0.00782507732101366,0.00734698753731573,0.00681109168678,0.00664365694990329,0.00585284284099327,0.00562207124346519,0.00534204774546257,0.00509011993602894,0.00474683104698643,0.00498104420287709,0.00472498979017013,0.00498512991537662,0.00464011440797214,0.00487151127400579,0.00456126463345666,0.00420642162468277,0.0039365426403855,0.00387537843090789,0.0036640829481289,0.00352308693432192,0.00332173326053554,0.00319263289863473,0.0030781755243181,0.00302118580448767,0.0029967062346847,0.00286769179572777,0.00275669447726481,0.00267758863407158,0.00263041126920074,0.00252126617903751,0.00236799731092886,0.00230381504600332,0.00227237165030155,0.00216380722237642,0.00208655896733617,0.00198482006063867,0.00190112391402865,0.00195870871308934,0.00197280811979368,0.00186788801438595,0.00185042004712815,0.00180599479432941
"A1",0.00172833776432139,0.00154240854182914,0.00146187598380796,0.00129912045113583,0.00129106389330205,0.00124003021750471,0.00117621380571492,0.00110476137558193,0.0011266147855564,0.00103015079251633,0.000985559150471,0.000887923534566146,0.000914276285291985,0.000964345940436247,0.000888310786802405,0.000869358670169027,0.000808223491928128,0.000833851653980815,0.000765340034533145,0.000791586891836774,0.000774876993320985,0.00072029242052742,0.000729160520694132,0.000744810460422252,0.000616456286784241,0.000679438239295083,0.000616358915406847,0.000546371839317617,0.000504539788249486,0.000488404051992176,0.000405946194023999,0.000468277100201024,0.000478948111661634,0.000433069107395598,0.000434382565831751,0.000408202013120469,0.000400010455995264,0.000398194933424318,0.000435874260904898,0.000334425099817413,0.000334725156711025,0.000346198302405507,0.000354409732600643,0.000324462749680639,0.000324833792774666,0.000275851191803497,0.000291506744536258,0.000257429670413388,0.000247919978760234,0.000261360461199966
"A2",0.00108071302417629,0.00101424876683402,0.000968792150090463,0.000884456937433313,0.000776686025054384,0.000760652237937677,0.000715569338318866,0.000747548066833698,0.00063278445280463,0.000624588221108964,0.000540718770051992,0.000567034415650615,0.000560273360603677,0.000538836940702037,0.000509160948838415,0.000467784124925633,0.000502820120049136,0.000503899437206445,0.000451020163532641,0.000445985650710897,0.00044964055837332,0.000459841898358498,0.000463291428706239,0.000408145150736231,0.000380863896084097,0.000366043875980842,0.000351221411527936,0.000341839989013894,0.000302743247674387,0.000288343095762405,0.000252184226818817,0.000281884202646183,0.000281435335144978,0.000271968042493584,0.000236510859169792,0.000238180114462516,0.000213895439226785,0.000233926645892165,0.00028499770117789,0.000211158814951293,0.000203193592036582,0.000202036030436027,0.000212877560200423,0.000187005281383401,0.000179941756818397,0.000170490904148115,0.000174076401986533,0.000146707754087256,0.000148829072369849,0.000153245578003266
"A3",0.000923529728967942,0.000783653092309445,0.000752941352762285,0.000701991361166865,0.000653357901942894,0.000656245263752106,0.000584654211133746,0.000591659896379782,0.000550496785433955,0.000490428245379283,0.000432990938418669,0.000423638194070862,0.000427849035497048,0.000404978735572395,0.00040172103647,0.000396344553751762,0.000378228762404346,0.000413026509409958,0.000348801716789782,0.000357796237304785,0.000345768570150478,0.000341368025837463,0.000356122153300974,0.000300471289578018,0.000274467517492818,0.000289298664799399,0.000267169030011426,0.000262322808279975,0.000233314948588379,0.00020501241788321,0.000202090621279706,0.000207320474727197,0.000207141744532799,0.000201255325914893,0.000176110810513625,0.000175711730711497,0.000157921285566947,0.00017100815090083,0.000224234943338695,0.000172388834447877,0.000149210004019883,0.000151489418976679,0.00015145387001298,0.000133562174372252,0.000124832505062314,0.000128298989986292,0.000127177741157947,0.00010134854287183,0.000110284559872154,0.000109036709577649
"A4",0.000769628744948848,0.000680045790638212,0.000623233665832583,0.000588325397336853,0.000568919504450836,0.000548815976571134,0.000491460825338969,0.000502622785264394,0.000437394110258977,0.000416921592262374,0.00040225776809481,0.000371837543188148,0.000339804650603998,0.000329001461811574,0.000352488387777326,0.000301196124880269,0.000310156178750094,0.000342131327140127,0.00028384558668848,0.000316830159398959,0.000289819903977365,0.000276374610305819,0.000297979707705914,0.000252115839778816,0.000226173066850873,0.000241952948268938,0.000219291475212304,0.000216011818752096,0.000197502292159091,0.000170853708919591,0.000175411470490888,0.000167721534563572,0.000169808227393405,0.0001655981417445,0.000148304628366591,0.00014429019721803,0.000133485205823034,0.000135608094994312,0.000188827097943333,0.000146313893949704,0.000122779094773511,0.000128589914557975,0.000120334394708521,0.000107186024282349,9.85092830012034e-05,0.000104604358801128,0.00010138006346362,7.772918376494e-05,8.96356211132566e-05,8.62892176245394e-05
"A5",0.000661053658242082,0.00060375654681221,0.000575516215281674,0.000506006444071029,0.000512792801719447,0.000477399903319906,0.000457962374951652,0.000439107919169455,0.000379276248168593,0.000394362594700356,0.00037169259280593,0.000332144362761262,0.000310050114267126,0.000290499802214067,0.00031429679087977,0.000269649018518965,0.000270767454787929,0.000288732284780821,0.000261924665987271,0.00028062160157325,0.000256021871970616,0.00024558792144355,0.000263074373062569,0.00021657936872699,0.00019678260063244,0.000212802049735743,0.000177858630365435,0.000180320031841593,0.000171444164325239,0.000158078390472807,0.000156675183428091,0.000144995235926142,0.000150400145675496,0.000140962298418824,0.000128063238752111,0.000123373060151246,0.000116804740987638,0.000113499571786948,0.000165694636781493,0.000126659227104271,0.000106426521211048,0.000113717790929707,0.000102820291790267,9.25404585088885e-05,8.43810548252806e-05,8.93634945271794e-05,8.67552529955702e-05,6.53110417800449e-05,7.89060688325377e-05,7.44539658844356e-05
"A6",0.000600955225105871,0.000517524626193284,0.000528721223836326,0.000445163732722604,0.000453393886902332,0.000436499276480752,0.000424171518215195,0.00039163596962508,0.000386086860448554,0.000361626633128962,0.000336586269924486,0.000292103970004753,0.000294000970958354,0.000261770941980202,0.00028036064875654,0.000263007886097727,0.000248757057230375,0.000260145645638344,0.000248814340893591,0.000245418583477161,0.000232898291546337,0.000223047952081564,0.000238693815989121,0.000188542223184194,0.000174605642796639,0.000201792977759544,0.000157230950392778,0.000154810793920631,0.000149452385429864,0.000145771402878174,0.000134770706869393,0.000129577740212941,0.000138509686066374,0.000123089956768698,0.0001133152550964,0.000107861543009762,0.000103718590755788,9.96930918291129e-05,0.000148221349435122,0.000110184646692317,9.52899822524715e-05,0.000102547007707426,9.23072823277328e-05,8.32547212801457e-05,7.68192571678848e-05,7.95824285966211e-05,7.86106124372616e-05,5.8551125147481e-05,7.22651265779636e-05,6.74534975172801e-05
"A7",0.000522632205087655,0.00043024319566214,0.000443217675908204,0.000388641488546113,0.0003744724705901,0.000387816231243756,0.000345377805570423,0.000341650653546943,0.000352996361127729,0.000294250853849643,0.000296913091917552,0.000251469141382676,0.000263449671129922,0.000228921245272466,0.000230192739255119,0.000231804605526885,0.000228330313642028,0.000223494497969676,0.000218253472658356,0.000210362733938238,0.000205057253941996,0.000193637210194077,0.000216478723593751,0.000163174869160902,0.00015488887249653,0.000188059419941008,0.000150055531627565,0.000136335895243255,0.000130683070273081,0.000128824098222377,0.000114012661412218,0.00011723612363948,0.000127711710580962,0.000109638178073528,0.000102035418948419,9.70281739008628e-05,9.39564793023104e-05,9.15928013260848e-05,0.000135282599170035,9.70355385776167e-05,8.80509428711408e-05,9.47136995524737e-05,8.60796058201125e-05,7.73364139514484e-05,7.34675569630334e-05,7.42215608269428e-05,7.44726335454719e-05,5.58734520235932e-05,6.82464179864591e-05,6.38302737908148e-05
"A8",0.000431403042074021,0.000361797933388805,0.000361026508531661,0.00033820268244734,0.000303297390536129,0.000328139049426522,0.000268584421422501,0.000286709428267193,0.000275588520084426,0.00023896611013398,0.000254405677818389,0.000216020323396719,0.000229066387798244,0.000201557962323857,0.000179606289336147,0.000194975728326617,0.000202583624278841,0.000178746535538091,0.000183328479480741,0.000179367902993553,0.000174668109169807,0.000164641815337006,0.000196300965586365,0.000140987918130787,0.000137516146550073,0.000163228375269955,0.000144321487716576,0.000122515651193752,0.000116055101530558,0.000112581723440293,0.000100992844049229,0.000107872907217382,0.000117220351184017,9.96676846950028e-05,9.33587882569709e-05,9.07477604362899e-05,8.726487119643e-05,8.80887145116102e-05,0.000127569171704466,8.82947970395497e-05,8.388371321568e-05,9.02174520028634e-05,8.30604943087544e-05,7.46604238851556e-05,7.33036640329394e-05,7.277515436532e-05,7.32154501778521e-05,5.68842692585927e-05,6.73273662713177e-05,6.37223047550221e-05
"A9",0.000367187819633012,0.000317111675765143,0.000311383145049133,0.000303577629262228,0.00025822888455657,0.000274922606468686,0.000227886961594745,0.000240846832701152,0.000226491336206847,0.000216441253134336,0.000216660907841287,0.00019415197296503,0.000202054955989691,0.000186166467869407,0.00015400822876197,0.000175125515528135,0.000177031846676537,0.000150250505564701,0.000159263598571295,0.000157695041567752,0.000153182102255955,0.000147269489498997,0.00018171384351729,0.000127264039636474,0.000126126854503834,0.000139348146539663,0.000137984385046092,0.000114919390960288,0.000106744397003486,0.000101765265872781,9.58045449066473e-05,0.000102765948725876,0.000109539851919631,9.47111060844144e-05,8.88614410914385e-05,8.89601310241429e-05,8.33183276977775e-05,8.8842521254329e-05,0.000125040226771393,8.38293851848225e-05,8.26783008264447e-05,8.91656470096898e-05,8.31385390226755e-05,7.53142757266595e-05,7.610601740301e-05,7.48997499489734e-05,7.43751176390756e-05,6.10058168238677e-05,6.94391601947389e-05,6.68414301945299e-05
